iter	Passed	Remaining
0	2	61
1	3	51
2	5	46
3	6	39
4	7	37
5	8	35
6	10	34
7	11	32
8	13	31
9	15	30
10	16	29
11	18	27
12	19	25
13	21	24
14	22	22
15	23	20
16	25	19
17	26	17
18	28	16
19	29	14
20	31	13
21	32	11
22	34	10
23	35	8
24	37	7
25	38	5
26	41	4
27	42	3
28	44	1
29	45	0
