iter	Passed	Remaining
445	1109	1378
446	1111	1374
447	1112	1370
448	1116	1370
449	1117	1366
450	1118	1361
451	1119	1357
452	1121	1354
453	1122	1350
454	1124	1346
455	1125	1342
456	1126	1338
457	1127	1334
458	1131	1333
459	1132	1329
460	1134	1326
461	1135	1322
462	1137	1318
463	1138	1314
464	1139	1311
465	1140	1307
466	1141	1303
467	1145	1302
468	1147	1298
469	1148	1294
470	1149	1291
471	1150	1287
472	1151	1283
473	1152	1279
474	1153	1275
475	1154	1271
476	1156	1267
477	1157	1263
478	1160	1262
479	1162	1258
480	1164	1255
481	1165	1252
482	1166	1248
483	1167	1245
484	1168	1241
485	1170	1237
486	1171	1233
487	1172	1229
488	1175	1228
489	1177	1225
490	1178	1221
491	1179	1217
492	1180	1214
493	1182	1210
494	1183	1207
495	1184	1203
496	1185	1199
497	1186	1196
498	1189	1194
499	1190	1190
500	1192	1187
501	1193	1184
502	1194	1180
503	1196	1177
504	1197	1173
505	1198	1170
506	1200	1167
507	1201	1163
508	1204	1162
509	1206	1159
510	1207	1155
511	1208	1152
512	1210	1149
513	1211	1145
514	1212	1142
515	1213	1138
516	1214	1135
517	1216	1131
518	1219	1130
519	1220	1126
520	1221	1123
521	1223	1120
522	1224	1116
523	1225	1113
524	1226	1109
525	1227	1106
526	1228	1102
527	1229	1099
528	1230	1095
529	1234	1095
530	1236	1092
531	1237	1088
532	1239	1085
533	1240	1082
534	1241	1078
535	1242	1075
536	1243	1072
537	1244	1068
538	1247	1066
539	1248	1063
540	1250	1060
541	1251	1057
542	1253	1054
543	1254	1051
544	1256	1048
545	1257	1045
546	1258	1042
547	1259	1039
548	1262	1037
549	1263	1034
550	1265	1030
551	1266	1027
552	1268	1025
553	1269	1022
554	1270	1019
555	1272	1015
556	1273	1012
557	1274	1009
558	1276	1007
559	1278	1004
560	1279	1001
561	1281	998
562	1282	995
563	1283	992
564	1284	989
565	1286	986
566	1287	983
567	1288	979
568	1289	976
569	1291	974
570	1292	970
571	1293	968
572	1295	965
573	1297	962
574	1298	959
575	1299	956
576	1300	953
577	1301	950
578	1304	948
579	1306	945
580	1307	943
581	1309	940
582	1310	937
583	1311	934
584	1312	931
585	1313	928
586	1314	925
587	1315	922
588	1317	919
589	1319	916
590	1320	913
591	1321	911
592	1323	908
593	1324	905
594	1325	902
595	1326	899
596	1327	896
597	1328	893
598	1329	890
599	1331	887
600	1332	884
601	1334	882
602	1336	879
603	1337	876
604	1338	873
605	1339	871
606	1341	868
607	1342	865
608	1343	862
609	1344	859
610	1345	856
611	1347	854
612	1349	851
613	1350	848
614	1351	846
615	1352	843
616	1353	840
617	1354	837
618	1356	834
619	1358	832
620	1360	830
621	1361	827
622	1362	824
623	1364	822
624	1366	819
625	1368	817
626	1369	814
627	1371	812
628	1372	809
629	1374	807
630	1376	805
631	1378	802
632	1379	799
633	1380	797
634	1382	794
635	1384	792
636	1385	789
637	1386	786
638	1387	783
639	1388	781
640	1392	779
641	1393	777
642	1394	774
643	1395	771
644	1397	768
645	1398	766
646	1399	763
647	1400	760
648	1402	758
649	1404	756
650	1406	753
651	1407	751
652	1409	748
653	1411	746
654	1412	743
655	1413	741
656	1415	738
657	1416	736
658	1419	734
659	1421	732
660	1422	729
661	1424	727
662	1426	725
663	1427	722
664	1428	719
665	1429	717
666	1431	714
667	1433	712
668	1435	710
669	1436	707
670	1437	704
671	1439	702
672	1440	699
673	1441	697
674	1443	694
675	1444	692
676	1446	690
677	1449	688
678	1451	686
679	1453	683
680	1455	681
681	1466	683
682	1470	682
683	1471	679
684	1473	677
685	1474	675
686	1476	672
687	1478	670
688	1480	668
689	1481	665
690	1482	663
691	1484	660
692	1485	658
693	1486	655
694	1488	653
695	1490	651
696	1492	648
697	1493	646
698	1494	643
699	1495	640
700	1496	638
701	1497	635
702	1498	633
703	1500	630
704	1501	628
705	1503	626
706	1505	623
707	1506	621
708	1507	618
709	1509	616
710	1510	614
711	1511	611
712	1513	609
713	1514	606
714	1515	604
715	1519	602
716	1520	600
717	1521	597
718	1522	595
719	1523	592
720	1524	590
721	1525	587
722	1527	585
723	1528	582
724	1529	580
725	1531	577
726	1532	575
727	1534	573
728	1535	570
729	1536	568
730	1537	565
731	1538	563
732	1539	560
733	1540	558
734	1542	556
735	1545	554
736	1547	552
737	1549	550
738	1550	547
739	1552	545
740	1553	543
741	1554	540
742	1556	538
743	1557	535
744	1560	534
745	1562	531
746	1563	529
747	1565	527
748	1567	525
749	1568	522
750	1570	520
751	1571	518
752	1572	515
753	1574	513
754	1576	511
755	1577	509
756	1578	506
757	1579	504
758	1580	501
759	1581	499
760	1582	497
761	1583	494
762	1584	492
763	1586	489
764	1589	488
765	1591	486
766	1592	483
767	1594	481
768	1595	479
769	1596	476
770	1597	474
771	1598	472
772	1599	469
773	1601	467
774	1604	465
775	1606	463
776	1607	461
777	1608	459
778	1609	456
779	1610	454
780	1612	452
781	1613	449
782	1614	447
783	1615	445
784	1616	442
785	1617	440
786	1619	438
787	1620	435
788	1622	433
789	1623	431
790	1624	429
791	1625	426
792	1626	424
793	1627	422
794	1631	420
795	1632	418
796	1634	416
797	1635	414
798	1636	411
799	1638	409
800	1639	407
801	1641	405
802	1642	402
803	1643	400
804	1646	398
805	1647	396
806	1648	394
807	1649	392
808	1651	389
809	1652	387
810	1654	385
811	1655	383
812	1657	381
813	1658	378
814	1660	376
815	1661	374
816	1662	372
817	1663	370
818	1665	367
819	1666	365
820	1667	363
821	1668	361
822	1669	359
823	1670	356
824	1673	355
825	1675	352
826	1676	350
827	1677	348
828	1678	346
829	1679	344
830	1681	341
831	1682	339
832	1683	337
833	1684	335
834	1685	333
835	1689	331
836	1690	329
837	1692	327
838	1693	324
839	1694	322
840	1696	320
841	1697	318
842	1699	316
843	1700	314
844	1702	312
845	1703	310
846	1704	307
847	1705	305
848	1706	303
849	1708	301
850	1709	299
851	1710	297
852	1711	294
853	1712	292
854	1715	291
855	1717	288
856	1719	286
857	1720	284
858	1721	282
859	1723	280
860	1724	278
861	1725	276
862	1726	274
863	1727	271
864	1730	270
865	1733	268
866	1734	266
867	1735	263
868	1736	261
869	1738	259
870	1739	257
871	1741	255
872	1742	253
873	1745	251
874	1746	249
875	1748	247
876	1749	245
877	1750	243
878	1751	241
879	1753	239
880	1754	236
881	1755	234
882	1756	232
883	1757	230
884	1761	228
885	1762	226
886	1763	224
887	1764	222
888	1766	220
889	1767	218
890	1768	216
891	1769	214
892	1770	212
893	1771	210
894	1775	208
895	1776	206
896	1777	204
897	1778	202
898	1779	199
899	1780	197
900	1781	195
901	1782	193
902	1784	191
903	1785	189
904	1786	187
905	1789	185
906	1791	183
907	1792	181
908	1793	179
909	1795	177
910	1796	175
911	1797	173
912	1798	171
913	1799	169
914	1800	167
915	1801	165
916	1804	163
917	1807	161
918	1808	159
919	1809	157
920	1810	155
921	1811	153
922	1812	151
923	1813	149
924	1814	147
925	1815	145
926	1819	143
927	1822	141
928	1824	139
929	1826	137
930	1827	135
931	1830	133
932	1831	131
933	1836	129
934	1837	127
935	1838	125
936	1839	123
937	1841	121
938	1842	119
939	1843	117
940	1844	115
941	1845	113
942	1846	111
943	1850	109
944	1852	107
945	1853	105
946	1855	103
947	1857	101
948	1858	99
949	1859	97
950	1860	95
951	1861	93
952	1864	91
953	1865	89
954	1867	87
955	1868	86
956	1870	84
957	1871	82
958	1873	80
959	1875	78
960	1876	76
961	1880	74
962	1882	72
963	1883	70
964	1885	68
965	1888	66
966	1889	64
967	1891	62
968	1895	60
969	1897	58
970	1898	56
971	1900	54
972	1901	52
973	1902	50
974	1904	48
975	1905	46
976	1906	44
977	1908	42
978	1909	40
979	1910	38
980	1911	37
981	1913	35
982	1915	33
983	1916	31
984	1917	29
985	1918	27
986	1923	25
987	1925	23
988	1926	21
989	1927	19
990	1929	17
991	1930	15
992	1931	13
993	1933	11
994	1936	9
995	1943	7
996	1944	5
997	1945	3
998	1947	1
999	1948	0
